Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Brown Spot,BrownSpot1.jpg,Spot,1,Red,0,Circular,1
Brown Spot,BrownSpot2.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot3.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot4.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot5.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot6.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot7.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot8.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot9.jpg,Spot,1,Brown,1,Circular,1
Brown Spot,BrownSpot10.jpg,Spot,1,Brown,1,Circular,1
Brown Spot,BrownSpot11.jpg,Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (338),Spot,1,Brown,1,Circular,1
Brown Spot,brown_spot (24),Spot,1,Brown,1,Circular,1
Brown Spot,brown_spot (77),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (168),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (185),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (246),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (249),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (320),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (14).jpg,Spot,1,Brown,1,Circular,1
Leaf Blast,leaf_blast1.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast2.jpg,Lesion,0,YellowishBrown,0,Linear,0
Leaf Blast,leaf_blast3.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast4.jpg,Lesion,0,Brown,1,Linear,0
Leaf Blast,leaf_blast5.jpg,Lesion,0,Brown,1,Linear,0
Leaf Blast,leaf_blast6.jpg,Lesion,0,Brown,1,Linear,0
Leaf Blast,leaf_blast7.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast8.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast9.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast10.jpg,Spot,1,Brown,1,Circular,0
Leaf Blast,leaf_blast (80),Spot,1,Brown,1,Oval,0
Leaf Blast,leaf_blast (39),Spot,1,Brown,1,Oval,0
Leaf Blast,leaf_blast (182),Spot,1,Brown,1,Oval,0
Leaf Blast,leaf_blast (191),Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast (16),Spot,1,Brown,1,Oval,0
Leaf Blast,leaf_blast (33),Spot,1,YellowishBrown,0,Ellipsoid,0
Leaf Blast,leaf_blast (104),Spot,1,Brown,1,Oval,0
Leaf Blast,leaf_blast (225),Spot,1,DarkBrown,0,Circular,0
Leaf Blast,leaf_blast (235),Spot,1,Brown,1,Oval,0
Leaf Blast,leaf_blast (357),Lesion,0,Brown,1,Linear,0
Leaf scald,leaf_scald1.png,Dry,0,Yellow,0,Linear,0
Leaf scald,leaf_scald2.jpg,Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald3.jpg,Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald4.jpg,Lesion,1,Yellow,0,Linear,0
Leaf scald,leaf_scald5.jpg,Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald6.jpg,Dry,0,Brown,0,Linear,0
Leaf scald,leaf_scald7.jpg,Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald8.jpg,Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald9.jpg,Dry,0,YellowishBrown,0,Linear,0
Leaf scald,leaf_scald10.jpg,Dry,0,YellowishBrown,0,Linear,0
Leaf scald,leaf_scald (15),Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald (22),Spot,0,Yellow,0,Linear,0
Leaf scald,leaf_scald (59),Spot,0,YellowishBrown,0,Oval,1
Leaf scald,leaf_scald (63),Dry,0,Brown,0,Linear,0
Leaf scald,leaf_scald (65),Dry,0,Brown,0,Linear,0
Leaf scald,leaf_scald (80),Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald (84),Dry,0,BrownishYellow,0,Linear,0
Leaf scald,leaf_scald (86),Spot,0,Brown,0,Oval,1
